CNT,CNTSCHID,CNTSTUID,RTML_mean,ESCS,ST011Q01TA,ST004D01T,ST001D01T,RATCMP1,RATCMP2,EDUSHORT
NOR,57800011.0,57800154.0,458.13509999999997,0.3937,1.0,1.0,10.0,0.6897,1.0,0.0574
NOR,57800137.0,57800155.0,473.54050000000007,0.6543,1.0,1.0,10.0,1.0,1.0,-0.113
NOR,57800203.0,57800157.0,299.0286,2.9302,1.0,2.0,10.0,1.3333,1.0,-1.4212
NOR,57800180.0,57800158.0,614.2827,1.2175,1.0,2.0,10.0,1.0236,1.0,-0.2376
NOR,57800027.0,57800159.0,405.18500000000006,0.8519,1.0,2.0,10.0,0.3049,1.0,0.6221
NOR,57800213.0,57800160.0,523.5707,0.1409,1.0,2.0,10.0,1.0,1.0,0.8339
NOR,57800193.0,57800161.0,429.4925999999999,-0.6788,1.0,2.0,10.0,1.497,1.0,-0.4873
NOR,57800055.0,57800162.0,597.3275,1.0257,1.0,1.0,10.0,1.0,1.0,-1.4212
NOR,57800240.0,57800164.0,524.2384,1.8563,1.0,2.0,10.0,1.0784,1.0,1.2478
NOR,57800026.0,57800165.0,636.548,1.5028,1.0,1.0,10.0,1.0,1.0,0.1
NOR,57800085.0,57800166.0,540.5708999999999,0.9195,1.0,1.0,10.0,0.48,1.0,0.5886
NOR,57800033.0,57800168.0,518.802,1.3047,1.0,1.0,11.0,,,
NOR,57800044.0,57800169.0,512.7273,0.6183,1.0,2.0,10.0,0.3333,1.0,1.0283
NOR,57800231.0,57800170.0,567.0278000000001,0.7865,1.0,1.0,10.0,0.3704,1.0,0.8339
NOR,57800060.0,57800171.0,468.30010000000004,0.5799,1.0,2.0,10.0,1.0,1.0,0.1
NOR,57800215.0,57800172.0,471.9874,-0.5609,1.0,1.0,10.0,1.0,1.0,0.7452
NOR,57800152.0,57800173.0,492.4678,1.4841,1.0,1.0,10.0,1.0,1.0,-0.4526
NOR,57800176.0,57800174.0,406.4579,-0.2575,2.0,1.0,10.0,1.0,1.0,0.4292
NOR,57800075.0,57800175.0,631.2305,1.3691,1.0,1.0,10.0,1.0,1.0,0.1312
NOR,57800106.0,57800176.0,518.3986,0.3557,1.0,1.0,10.0,1.0,1.0,-0.0672
NOR,57800194.0,57800179.0,580.8973000000001,0.69,1.0,2.0,10.0,1.0,1.0,0.8339
NOR,57800187.0,57800180.0,609.2457,1.7236,1.0,2.0,10.0,1.0,1.0,0.1
NOR,57800239.0,57800181.0,544.9839,1.2077,1.0,1.0,10.0,1.0,1.0,0.4292
NOR,57800152.0,57800182.0,393.83360000000005,1.6066,1.0,2.0,10.0,1.0,1.0,-0.4526
NOR,57800043.0,57800185.0,344.1857,-0.7031,1.0,2.0,10.0,0.1087,1.0,0.8339
NOR,57800093.0,57800187.0,551.7201,0.5434,1.0,1.0,10.0,1.0,1.0,0.6221
NOR,57800235.0,57800190.0,525.5951000000001,-0.2948,1.0,1.0,10.0,1.0,1.0,0.1
NOR,57800076.0,57800191.0,613.3099,0.7136,1.0,2.0,10.0,1.0,1.0,1.2002
NOR,57800242.0,57800192.0,451.9237,0.7451,1.0,1.0,10.0,1.0,1.0,0.1
NOR,57800162.0,57800194.0,606.0836999999999,1.1246,1.0,2.0,10.0,0.5634,1.0,1.7368
NOR,57800071.0,57800195.0,412.4521000000001,0.3435,1.0,1.0,10.0,0.3846,1.0,1.7368
NOR,57800243.0,57800197.0,487.6573,1.6356,1.0,2.0,10.0,1.0,1.0,0.4292
NOR,57800109.0,57800198.0,330.8254,0.8069,1.0,2.0,10.0,0.6122,1.0,-1.4212
NOR,57800140.0,57800199.0,684.2499,0.9975,1.0,2.0,10.0,1.3333,1.0,-1.4212
